assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerFirstName,playerId,playerLastName,playerName,playerPositionCode,playerTeamsPlayedFor,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame
0,0.0,0,8,1,0,0,Kasperi,8477953,Kapanen,Kasperi Kapanen,R,TOR,-2,1,0.125,0,0,20162017,0,0,17.125,0.0909,11,641.75
2,0.0,0,9,0,0,0,Ty,8476427,Rattie,Ty Rattie,R,"STL, CAR",-2,2,0.2222,0,0,20162017,0,0,15.4444,0.0,10,644.3333
0,0.0,0,13,2,0,6,Teemu,8475800,Pulkkinen,Teemu Pulkkinen,L,"MIN, ARI",-2,2,0.1538,0,0,20162017,0,0,13.7692,0.2,10,570.0769
3,0.0,0,38,2,0,4,Gustav,8478055,Forsling,Gustav Forsling,D,CHI,3,5,0.1315,0,1,20162017,0,0,19.3157,0.0416,48,889.1315
3,0.3939,0,37,1,0,4,Curtis,8477508,Lazar,Curtis Lazar,C,"OTT, CGY",-8,4,0.1081,0,0,20162017,0,0,13.6756,0.0384,26,548.027
0,0.0,0,1,0,0,0,Chris,8471761,Butler,Chris Butler,D,STL,0,0,0.0,0,0,20162017,0,0,26.0,0.0,1,1288.0
13,0.0,1,65,11,0,8,Loui,8470626,Eriksson,Loui Eriksson,L,VAN,-9,24,0.3692,5,7,20162017,0,1,24.4307,0.0833,132,1120.6615
2,0.368,1,20,6,1,8,Yanni,8476826,Gourde,Yanni Gourde,C,TBL,-1,8,0.4,0,0,20162017,1,1,21.05,0.2,30,922.05
17,0.4273,2,69,13,0,40,Ryan,8476458,Strome,Ryan Strome,C,NYI,-8,30,0.4347,2,8,20162017,0,0,18.3333,0.114,114,876.4637
0,0.0,0,4,0,0,0,Sonny,8477947,Milano,Sonny Milano,L,CBJ,-3,0,0.0,0,0,20162017,0,0,15.75,0.0,2,701.0
6,0.0,0,50,2,0,22,Michal,8479482,Kempny,Michal Kempny,D,CHI,1,8,0.16,0,0,20162017,0,0,19.94,0.0298,67,897.96
12,0.0,1,43,8,0,34,Jannik,8471498,Hansen,Jannik Hansen,R,"VAN, SJS",2,20,0.4651,0,0,20162017,0,0,22.6976,0.1095,73,963.1162
0,0.5555,0,7,0,0,2,Phil,8475321,Varone,Phil Varone,C,OTT,-3,0,0.0,0,0,20162017,0,0,11.7142,0.0,1,478.7142
7,0.0,1,75,4,0,65,Roman,8471392,Polak,Roman Polak,D,TOR,10,11,0.1466,0,0,20162017,0,0,24.2266,0.0625,64,1075.24
17,0.3636,0,79,7,0,101,Zack,8475178,Kassian,Zack Kassian,R,EDM,4,24,0.3037,0,0,20162017,0,0,17.8734,0.0636,110,738.1645
36,0.6666,6,75,34,2,34,David,8477956,Pastrnak,David Pastrnak,R,BOS,11,70,0.9333,10,24,20162017,0,0,21.2933,0.1297,262,1078.9466
44,0.4615,3,80,15,0,26,Mats,8475692,Zuccarello,Mats Zuccarello,R,NYR,15,59,0.7375,5,14,20162017,0,0,24.025,0.0793,189,1129.725
18,1.0,1,82,5,0,32,Jack,8471677,Johnson,Jack Johnson,D,CBJ,23,23,0.2804,1,2,20162017,0,1,28.0,0.0431,116,1309.3414
9,0.0,0,71,4,0,25,Marco,8474618,Scandella,Marco Scandella,D,MIN,-2,13,0.183,0,0,20162017,0,0,23.6197,0.0454,88,1100.3098
34,0.0,2,82,9,2,34,Jake,8474581,Gardiner,Jake Gardiner,D,TOR,24,43,0.5243,2,13,20162017,0,0,26.6219,0.0708,127,1292.0121
34,0.4397,6,82,22,1,21,J.T.,8476468,Miller,J.T. Miller,L,NYR,17,56,0.6829,2,7,20162017,3,4,23.1219,0.1666,132,981.9878
26,0.1428,5,79,23,0,20,Jakob,8475164,Silfverberg,Jakob Silfverberg,R,ANA,10,49,0.6202,5,9,20162017,1,1,25.2911,0.1013,227,1109.0632
26,0.5196,3,66,19,1,28,Tyler,8474870,Johnson,Tyler Johnson,C,TBL,-5,45,0.6818,6,17,20162017,0,0,23.8333,0.1461,130,1129.303
1,0.0,1,9,4,0,0,Brock,8478444,Boeser,Brock Boeser,R,VAN,0,5,0.5555,2,2,20162017,0,0,20.8888,0.16,25,972.7777
8,0.1875,1,51,5,0,12,Tyler,8474589,Ennis,Tyler Ennis,C,BUF,-10,13,0.2549,0,3,20162017,0,0,15.8627,0.0561,89,770.1568
18,0.3076,1,80,16,1,6,Tobias,8476356,Rieder,Tobias Rieder,R,ARI,-8,34,0.425,2,6,20162017,1,2,22.8125,0.1032,155,1038.7875
4,0.4128,1,15,3,0,4,Joel,8478493,Eriksson Ek,Joel Eriksson Ek,C,MIN,1,7,0.4666,0,0,20162017,0,0,16.2666,0.2,15,636.7333
15,0.0,3,67,23,0,26,Rick,8470041,Nash,Rick Nash,R,NYR,9,38,0.5671,6,9,20162017,1,1,24.7164,0.1179,195,987.8507
6,0.4497,2,27,3,1,26,Joseph,8477010,Blandisi,Joseph Blandisi,L,NJD,-10,9,0.3333,1,5,20162017,0,0,18.1481,0.125,24,801.5925
