playerId,assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerFirstName,playerLastName,playerName,playerPositionCode,playerTeamsPlayedFor,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame,playerDraftYear,playerDraftOverallPickNo,Age,hits,blockedShots,faceoffs,faceoffsLost,faceoffsWon,giveaways,takeaways,missedShots
8474586,31,0.5,0,82,20,0,16,Jordan,Eberle,Jordan Eberle,C,EDM,3,51,0.6219,4,14,20162017,0,0,21.7195,0.0961,208,1006.0609,2008,22,26,26,37,20,10,10,44,38,89
8475236,9,0.5234,1,60,3,0,49,Cody,Eakin,Cody Eakin,C,DAL,-7,12,0.2,0,2,20162017,0,0,24.5,0.0365,82,1008.9166,2009,85,25,65,39,1001,477,524,33,24,48
8476292,35,0.2647,3,75,17,0,39,Ondrej,Palat,Ondrej Palat,L,TBL,8,52,0.6933,5,15,20162017,0,0,24.0933,0.1049,162,1147.04,2011,208,25,141,66,34,25,9,46,60,54
8477392,1,0,0,10,0,0,2,Hudson,Fasching,Hudson Fasching,R,BUF,-1,1,0.1,0,0,20162017,0,0,14.5,0,6,624.5,2013,118,21,17,2,0,0,0,1,1,3
8475235,2,0,0,42,0,0,38,Nicolas,Deslauriers,Nicolas Deslauriers,L,BUF,-6,2,0.0476,0,0,20162017,0,0,10,0,26,444.9523,2009,84,25,109,5,3,3,0,3,2,11
8473571,0,0,0,3,0,0,0,Jamie,McBain,Jamie McBain,D,ARI,-1,0,0,0,0,20162017,0,0,20.3333,0,3,1000,2006,63,28,0,4,0,0,0,1,1,2
8471273,29,0.5174,5,80,12,1,91,Brandon,Dubinsky,Brandon Dubinsky,C,CBJ,16,41,0.5125,1,4,20162017,1,1,24.425,0.1043,115,1073.725,2004,60,30,248,60,1488,718,770,32,38,41
8475796,13,0,0,82,4,0,10,Mark,Pysyk,Mark Pysyk,D,FLA,0,17,0.2073,0,0,20162017,0,0,23.1219,0.0465,86,1113.6463,2010,23,24,72,99,1,1,0,36,31,38
8477953,0,0,0,8,1,0,0,Kasperi,Kapanen,Kasperi Kapanen,R,TOR,-2,1,0.125,0,0,20162017,0,0,17.125,0.0909,11,641.75,2014,22,20,6,2,0,0,0,4,2,3
8476427,2,0,0,9,0,0,0,Ty,Rattie,Ty Rattie,R,"STL, CAR",-2,2,0.2222,0,0,20162017,0,0,15.4444,0,10,644.3333,2011,32,23,10,4,0,0,0,0,4,3
8475800,0,0,0,13,2,0,6,Teemu,Pulkkinen,Teemu Pulkkinen,L,"MIN, ARI",-2,2,0.1538,0,0,20162017,0,0,13.7692,0.2,10,570.0769,2010,111,24,4,3,1,1,0,6,2,5
8478055,3,0,0,38,2,0,4,Gustav,Forsling,Gustav Forsling,D,CHI,3,5,0.1315,0,1,20162017,0,0,19.3157,0.0416,48,889.1315,2014,126,20,16,17,0,0,0,27,5,18
8477508,3,0.3939,0,37,1,0,4,Curtis,Lazar,Curtis Lazar,C,"OTT, CGY",-8,4,0.1081,0,0,20162017,0,0,13.6756,0.0384,26,548.027,2013,17,21,66,17,99,60,39,6,7,9
8471761,0,0,0,1,0,0,0,Chris,Butler,Chris Butler,D,STL,0,0,0,0,0,20162017,0,0,26,0,1,1288,2005,96,29,0,2,0,0,0,1,0,0
8470626,13,0,1,65,11,0,8,Loui,Eriksson,Loui Eriksson,L,VAN,-9,24,0.3692,5,7,20162017,0,1,24.4307,0.0833,132,1120.6615,2003,33,31,11,26,1,1,0,16,37,27
8476826,2,0.368,1,20,6,1,8,Yanni,Gourde,Yanni Gourde,C,TBL,-1,8,0.4,0,0,20162017,1,1,21.05,0.2,30,922.05,,,24,11,3,163,103,60,4,12,12
8476458,17,0.4273,2,69,13,0,40,Ryan,Strome,Ryan Strome,C,NYI,-8,30,0.4347,2,8,20162017,0,0,18.3333,0.114,114,876.4637,2011,5,23,59,21,344,197,147,32,33,42
8477947,0,0,0,4,0,0,0,Sonny,Milano,Sonny Milano,L,CBJ,-3,0,0,0,0,20162017,0,0,15.75,0,2,701,2014,16,20,3,2,0,0,0,3,1,2
8479482,6,0,0,50,2,0,22,Michal,Kempny,Michal Kempny,D,CHI,1,8,0.16,0,0,20162017,0,0,19.94,0.0298,67,897.96,,,26,76,59,0,0,0,26,6,39
8471498,12,0,1,43,8,0,34,Jannik,Hansen,Jannik Hansen,R,"VAN, SJS",2,20,0.4651,0,0,20162017,0,0,22.6976,0.1095,73,963.1162,2004,287,30,43,15,1,1,0,14,21,32
8475321,0,0.5555,0,7,0,0,2,Phil,Varone,Phil Varone,C,OTT,-3,0,0,0,0,20162017,0,0,11.7142,0,1,478.7142,2009,147,25,3,1,27,12,15,4,3,3
8471392,7,0,1,75,4,0,65,Roman,Polak,Roman Polak,D,TOR,10,11,0.1466,0,0,20162017,0,0,24.2266,0.0625,64,1075.24,2004,180,30,232,133,1,1,0,49,16,38
8475178,17,0.3636,0,79,7,0,101,Zack,Kassian,Zack Kassian,R,EDM,4,24,0.3037,0,0,20162017,0,0,17.8734,0.0636,110,738.1645,2009,13,25,201,16,11,7,4,39,21,27
